experiment,vix_floor,vix_ceiling,base_stop,hv_scale,mc_p5_dd,hedged_sharpe,annual_return_pct,passes_30pct
EXP-400,20.0,35.0,2.5,0.15,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,2.5,0.25,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,3.0,0.1,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,3.0,0.15,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,3.0,0.25,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,3.5,0.1,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,3.5,0.15,-14.25,2.937,31.4,True
EXP-400,20.0,35.0,3.5,0.25,-14.25,2.937,31.4,True
EXP-400,16.0,42.0,1.5,0.05,-14.28,2.903,29.27,True
EXP-400,16.0,42.0,1.5,0.1,-14.28,2.888,29.14,True
EXP-400,16.0,42.0,2.0,0.05,-14.28,2.903,29.27,True
EXP-400,16.0,42.0,2.0,0.1,-14.28,2.888,29.14,True
EXP-400,16.0,42.0,2.5,0.05,-14.28,2.903,29.27,True
EXP-400,16.0,42.0,2.5,0.1,-14.28,2.888,29.14,True
EXP-400,16.0,42.0,3.0,0.05,-14.28,2.903,29.27,True
EXP-400,16.0,42.0,3.0,0.1,-14.28,2.888,29.14,True
EXP-400,16.0,42.0,3.5,0.05,-14.28,2.903,29.27,True
EXP-400,16.0,42.0,3.5,0.1,-14.28,2.888,29.14,True
EXP-400,12.0,50.0,1.5,0.05,-14.4,2.751,25.24,True
EXP-400,12.0,50.0,2.0,0.05,-14.4,2.751,25.24,True
EXP-400,12.0,50.0,2.5,0.05,-14.4,2.751,25.24,True
EXP-400,12.0,50.0,3.0,0.05,-14.4,2.751,25.24,True
EXP-400,12.0,50.0,3.5,0.05,-14.4,2.751,25.24,True
EXP-400,16.0,42.0,1.5,0.15,-14.47,2.866,28.96,True
EXP-400,16.0,42.0,2.0,0.15,-14.47,2.866,28.96,True
EXP-400,16.0,42.0,2.5,0.15,-14.47,2.866,28.96,True
EXP-400,16.0,42.0,3.0,0.15,-14.47,2.866,28.96,True
EXP-400,16.0,42.0,3.5,0.15,-14.47,2.866,28.96,True
EXP-400,12.0,50.0,1.5,0.1,-14.53,2.732,25.1,True
EXP-400,12.0,50.0,2.0,0.1,-14.53,2.732,25.1,True
EXP-400,12.0,50.0,2.5,0.1,-14.53,2.732,25.1,True
EXP-400,12.0,50.0,3.0,0.1,-14.53,2.732,25.1,True
EXP-400,12.0,50.0,3.5,0.1,-14.53,2.732,25.1,True
EXP-400,12.0,50.0,1.5,0.15,-14.55,2.699,24.92,True
EXP-400,12.0,50.0,2.0,0.15,-14.55,2.699,24.92,True
